From	To
9584	B4DRA0_HUMAN
9584	E1P5S2_HUMAN
9584	RBM39_HUMAN
3911	LAMA5_HUMAN
2897	E7ENK3_HUMAN
2897	E7EPY9_HUMAN
2897	E7EPZ0_HUMAN
2897	E9PD61_HUMAN
2897	GRIK1_HUMAN
5121	PCP4_HUMAN
8209	ES1_HUMAN
8209	F2Z2Q0_HUMAN
754	B4DPZ0_HUMAN
754	PTTG_HUMAN
85285	KRA41_HUMAN
2928	GSC2_HUMAN
80764	THAP7_HUMAN
2953	B5MCL2_HUMAN
2953	G9J6Q5_HUMAN
2953	GSTT2_HUMAN
89781	A8K2E6_HUMAN
89781	HPS4_HUMAN
89781	Q6P1K3_HUMAN
11200	CHK2_HUMAN
8563	THOC5_HUMAN
113791	P3IP1_HUMAN
25771	TB22A_HUMAN
4336	MOBP_HUMAN
26018	LRIG1_HUMAN
9616	RBX2_HUMAN
27107	Q59H97_HUMAN
27107	ZBT11_HUMAN
8856	F1D8P9_HUMAN
8856	NR1I2_HUMAN
23284	E9PE04_HUMAN
23284	LPHN3_HUMAN
10474	A8K899_HUMAN
10474	TADA3_HUMAN
80335	WDR82_HUMAN
3700	B2RMS9_HUMAN
3700	B7ZKJ8_HUMAN
3700	ITIH4_HUMAN
65010	G3XAC1_HUMAN
65010	Q96MZ1_HUMAN
65010	Q9Y3Y1_HUMAN
65010	S26A6_HUMAN
286676	ILDR1_HUMAN
10663	A0N0N3_HUMAN
10663	CXCR6_HUMAN
9861	C9IZE4_HUMAN
9861	PSMD6_HUMAN
27303	C9JIJ9_HUMAN
27303	RBMS3_HUMAN
84692	CCD54_HUMAN
84276	B2R7Q3_HUMAN
84276	NICN1_HUMAN
11173	ATS7_HUMAN
11173	Q9UFZ4_HUMAN
668	FOXL2_HUMAN
668	Q53ZD3_HUMAN
8893	EI2BE_HUMAN
348793	WDR53_HUMAN
4258	MGST2_HUMAN
6307	MSMO1_HUMAN
51191	B4DXV3_HUMAN
51191	HERC5_HUMAN
58	ACTS_HUMAN
2180	A8K9T3_HUMAN
2180	ACSL1_HUMAN
2180	B4E0R0_HUMAN
2180	B7Z3Z9_HUMAN
2180	E7EPM6_HUMAN
1446	CASA1_HUMAN
57721	MET14_HUMAN
7739	B3KPM4_HUMAN
7739	ZN185_HUMAN
3815	KIT_HUMAN
79625	NDNF_HUMAN
79807	B7Z8J7_HUMAN
79807	GSTCD_HUMAN
6870	NK3R_HUMAN
80157	B4DU47_HUMAN
80157	B7ZAJ2_HUMAN
80157	E7EQL2_HUMAN
80157	PG2IP_HUMAN
84679	SL9A7_HUMAN
26511	CHIC2_HUMAN
8649	LTOR3_HUMAN
27295	PDLI3_HUMAN
441027	T150C_HUMAN
4487	MSX1_HUMAN
23398	B4DP34_HUMAN
23398	B4DT22_HUMAN
23398	F5H7P7_HUMAN
23398	PPWD1_HUMAN
10307	APBB3_HUMAN
10307	Q59EH2_HUMAN
10307	Q96DX9_HUMAN
29930	PCDB1_HUMAN
4671	BIRC1_HUMAN
